20130930_055218_477  535 -79.96280226 40.43680869 3 PartlyCloudy
20130930_055218_477  554 -79.96260731 40.43665982 3 PartlyCloudy
20130930_055218_477  561 -79.96253635 40.43660685 3 PartlyCloudy
20130930_055218_477  575 -79.96240313 40.43651087 3 PartlyCloudy
20130930_055218_477  591 -79.96225739 40.43640474 3 PartlyCloudy
20130930_055218_477  597 -79.96220335 40.43636230 3 PartlyCloudy
20130930_055218_477  621 -79.96200349 40.43620882 3 PartlyCloudy
20130930_055218_477  643 -79.96180502 40.43607372 3 PartlyCloudy
20130930_055218_477  654 -79.96170345 40.43600282 3 PartlyCloudy
20130930_055352_476  277 -79.95801015 40.43577355 3 PartlyCloudy
20130930_055352_476  334 -79.95716802 40.43540178 3 PartlyCloudy
20130930_055352_476  607 -79.95660460 40.43515552 3 PartlyCloudy
20130930_055352_476  641 -79.95617363 40.43500254 3 PartlyCloudy
20130930_055352_476  651 -79.95601362 40.43495625 3 PartlyCloudy
20130930_055352_476  663 -79.95580399 40.43489434 3 PartlyCloudy
20130930_055352_476  674 -79.95560420 40.43483638 3 PartlyCloudy
20130930_055352_476  681 -79.95547482 40.43480005 3 PartlyCloudy
20130930_055529_665    4 -79.95500892 40.43465896 3 PartlyCloudy
20130930_055529_665    5 -79.95486342 40.43462007 3 PartlyCloudy
20130930_055529_665    6 -79.95471986 40.43458234 3 PartlyCloudy
20130930_055529_665    8 -79.95443719 40.43452601 3 PartlyCloudy
20130930_055529_665   13 -79.95421083 40.43449503 3 PartlyCloudy
20130930_055529_665   22 -79.95402071 40.43447467 3 PartlyCloudy
20130930_055529_665   33 -79.95380104 40.43444610 3 PartlyCloudy
20130930_055529_665   42 -79.95361608 40.43442193 3 PartlyCloudy
20130930_055529_665   49 -79.95347896 40.43440243 3 PartlyCloudy
20130930_055529_665   53 -79.95340125 40.43439150 3 PartlyCloudy
20130930_055529_665   63 -79.95320496 40.43436608 3 PartlyCloudy
20130930_055529_665   73 -79.95300319 40.43433978 3 PartlyCloudy
20130930_055529_665   82 -79.95281500 40.43431505 3 PartlyCloudy
20130930_055529_665   91 -79.95262027 40.43428938 3 PartlyCloudy
20130930_055529_665  101 -79.95240778 40.43426034 3 PartlyCloudy
20130930_055529_665  110 -79.95221075 40.43423702 3 PartlyCloudy
20130930_055529_665  136 -79.95200230 40.43422421 3 PartlyCloudy
20130930_055529_665  150 -79.95189878 40.43422239 3 PartlyCloudy
20130930_055529_665  151 -79.95171407 40.43423028 3 PartlyCloudy
20130930_055529_665  152 -79.95152905 40.43424810 3 PartlyCloudy
20130930_055529_665  153 -79.95134496 40.43426927 3 PartlyCloudy
20130930_055529_665  161 -79.95101724 40.43430568 3 PartlyCloudy
20130930_055529_665  170 -79.95082053 40.43432096 3 PartlyCloudy
20130930_055529_665  178 -79.95060613 40.43433823 3 PartlyCloudy
20130930_055529_665  186 -79.95041097 40.43435910 3 PartlyCloudy
20130930_055529_665  194 -79.95021846 40.43437932 3 PartlyCloudy
20130930_055529_665  202 -79.95002156 40.43439997 3 PartlyCloudy
20130930_055529_665  210 -79.94982379 40.43442066 3 PartlyCloudy
20130930_055529_665  219 -79.94960204 40.43444341 3 PartlyCloudy
20130930_055529_665  227 -79.94941215 40.43446380 3 PartlyCloudy
20130930_055529_665  236 -79.94920592 40.43448908 3 PartlyCloudy
20130930_055529_665  250 -79.94900059 40.43451338 3 PartlyCloudy
20130930_055529_665  259 -79.94890798 40.43452301 3 PartlyCloudy
20130930_055529_665  263 -79.94860212 40.43455746 3 PartlyCloudy
20130930_055529_665  270 -79.94841095 40.43459071 3 PartlyCloudy
20130930_055529_665  279 -79.94820931 40.43464106 3 PartlyCloudy
20130930_055529_665  311 -79.94800896 40.43471057 3 PartlyCloudy
20130930_055529_665  313 -79.94782911 40.43478585 3 PartlyCloudy
